"dataset_name","feature_id","gene_symbol","log2FoldChange","lfc_shrunk","Apeglm_L2FC","regulation_direction","stat","pvalue","padj","empirical_p","empirical_q","empirical_bh","lfdr","HBFSS","pi_valueE","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","weak_cnh_flag","strong_cnh_flag","standard_flag","hbfss_flag","final_class","weak_hbfss_overlap","strong_hbfss_overlap","standard_hbfss_overlap","any_overlap","baseMean.x","lfcSE","pval","padjc","qval","gene_empirical_pvalue","HBFSS_core_pass","raw_lfc_pass","shrunk_lfc_pass","padj_strong_effect","padj_weak_effect","effect_class","hc_pass","standard_significant","HBFSS_significant","display_weak_flag","display_strong_flag","display_standard_flag","display_hbfss_flag","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","baseMean.y","dispOutlier","neglog10_padj","neglog10_empirical_p","neglog10_padjc"
"RT4_ZT10_NormEVS_leading_edge_dataset","248551","Mbp",-0.122509874126574,-0.0675183742536127,-0.0675183742536127,"downregulated",-0.411227649546352,0.680905615691689,0.905566965056444,0.753006805416443,0.942218382518549,0.993912376659156,0.999999999999999,0.00831833789571218,0.00831833789571218,0.017917484790559,1.7467229555136,0.00890764364963124,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,25531.2795260251,0.297912541293663,0.753006805416443,0.993912376659156,0.942218382518549,0.753006805416443,FALSE,FALSE,FALSE,1,0.00890764364963124,"weak_effect",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18014.9685402289,18402.3328469391,19037.9497504269,22908.2130502484,43877.9688685432,39873.3632459553,21049.7661660596,23782.9787100411,30354.448280821,18010.8058009873,0.136598328646464,0.0708923913905951,0.106560852096247,7,25531.2795260251,FALSE,0.0430794288627155,0.12320109877745,0.00265190132783815
"RT4_ZT10_NormEVS_leading_edge_dataset","25328","-",0.716774524206411,0.0670568973441516,0.0670568973441516,"upregulated",0.782641660211271,0.433837570042911,0.779233513087991,0.549247360139395,0.922445045487755,0.985366944024728,0.999999999999999,0.0174503519689754,0.0174503519689754,0.017917484790559,1.7467229555136,0.432076798751333,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,7134.82605789182,0.915839982263301,0.549247360139395,0.985366944024728,0.922445045487755,0.549247360139395,FALSE,FALSE,FALSE,1,0.432076798751333,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16328.3790866031,18616.9911906925,7529.53452958174,1101.54012570572,781.429724003842,7882.69520275582,7196.06084200159,584.102255814925,6510.30468635485,4817.22293540409,1.00729772746487,0.0720544383763351,1.00729772746487,11,7134.82605789182,TRUE,0.10833237769489,0.260232021762298,0.0064020110366038
"RT4_ZT10_NormEVS_leading_edge_dataset","8277","Apoe",-0.384282303271257,-0.148007311543309,-0.148007311543309,"downregulated",-0.975456173346213,0.329334031218906,0.697453878041854,0.455406085728877,0.907935309157811,0.961431343563051,0.999999999999999,0.0505594708026942,0.0505594708026942,0.017917484790559,1.7467229555136,0.100692459303567,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,8479.64393033805,0.393951377592918,0.455406085728877,0.961431343563051,0.907935309157811,0.455406085728877,FALSE,FALSE,FALSE,1,0.100692459303567,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3743.39443055378,5054.18519751391,7824.21266906605,4432.49831173566,15732.7014898558,12589.2546174517,4534.47528141325,7368.27433615977,14345.8777750915,9171.56519453898,0.265907406932072,0.0717986693096486,0.186287410882317,10,8479.64393033805,FALSE,0.156484506583687,0.34160117007395,0.0170817235693581
"RT4_ZT10_NormEVS_leading_edge_dataset","55601","Bc1",-0.796616252065315,-0.322339161934944,-0.322339161934944,"downregulated",-1.77986399458255,0.0750982214330692,0.348349720350473,0.173205216894674,0.789509149943891,0.801464676551197,0.999999999999999,0.245441619210048,0.245441619210048,0.017917484790559,1.7467229555136,0.378842741011581,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,22645.451318348,0.447571418091502,0.173205216894674,0.801464676551197,0.789509149943891,0.173205216894674,FALSE,FALSE,FALSE,1,0.378842741011581,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17012.1062366003,14959.7437357504,16618.105127174,9667.52515387295,24480.1989139374,10222.672386859,10101.6163156901,18598.9085776971,39683.23853261,65110.398203289,0.389782467548118,0.0709498245180106,0.240562965496951,11,22645.451318348,FALSE,0.457984533773865,0.761439031288367,0.0961156138175765
"RT4_ZT10_NormEVS_leading_edge_dataset","278624","Atp1a1",-0.293509345818369,-0.106944553478864,-0.106944553478864,"downregulated",-0.752886279292888,0.451518253830464,0.791499416712223,0.564534690188727,0.924386396654464,0.986572439320183,0.999999999999999,0.026555334258992,0.026555334258992,0.017917484790559,1.7467229555136,0.0699393856359676,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,6778.60222559176,0.389845523674616,0.564534690188727,0.986572439320183,0.924386396654464,0.564534690188727,FALSE,FALSE,FALSE,1,0.0699393856359676,"weak_effect",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3080.28687932274,6123.21218097457,3994.84847222073,6184.22081824939,11075.4806788987,12377.6811525111,6154.98233351385,5017.55545808055,10680.0143717289,3097.73991041692,0.252007844363055,0.0721391894062048,0.182390466693573,10,6778.60222559176,FALSE,0.101549400850591,0.248309365883138,0.00587102106356792
"RT4_ZT10_NormEVS_leading_edge_dataset","335788","Cst3",-0.220079685669473,-0.113176470026822,-0.113176470026822,"downregulated",-0.77480891232562,0.438452582176737,0.78189342959226,0.553251696868964,0.92296313134447,0.985366944024728,0.999999999999999,0.0290950951564823,0.0290950951564823,0.017917484790559,1.7467229555136,0.0134907256663975,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,8924.20644353845,0.284043823152337,0.553251696868964,0.985366944024728,0.92296313134447,0.553251696868964,FALSE,FALSE,FALSE,1,0.0134907256663975,"weak_effect",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8932.03528371997,9470.08167750943,10480.6707737768,8949.17432646711,3391.63077641475,8741.65813227502,11540.1975274186,10382.4501195076,6415.6426576133,10938.523160682,0.110551471720594,0.0717310717267591,0.0967889361104054,11,8924.20644353845,FALSE,0.106852436318675,0.257077245381369,0.0064020110366038
"RT4_ZT10_NormEVS_leading_edge_dataset","339719","Stmn3",-0.395366136484945,-0.165985742336202,-0.165985742336202,"downregulated",-1.07664687387988,0.281638054829395,0.65810387090893,0.410016148077724,0.89877515499842,0.955870664195529,0.999999999999999,0.0642695198684436,0.0642695198684436,0.017917484790559,1.7467229555136,0.0892455639218326,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,3293.66396000146,0.367219880609671,0.410016148077724,0.955870664195529,0.89877515499842,0.410016148077724,FALSE,FALSE,FALSE,1,0.0892455639218326,"weak_effect",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1487.42287463416,2161.27308136705,2023.55333222228,2236.6480470846,6319.17006345322,5783.43034403412,3062.24304718817,2678.54464303548,4221.62112049042,2962.73304650507,0.245800151478993,0.0739352509083287,0.161649793902546,10,3293.66396000146,FALSE,0.18170555471065,0.387199038687711,0.0196008667470201
"RT4_ZT10_NormEVS_leading_edge_dataset","156760","Uchl1",-0.624031490564473,-0.272649044492094,-0.272649044492094,"downregulated",-1.58159745008562,0.113741496510631,0.433578172312884,0.226178971940171,0.830449840257623,0.859205240922891,0.999999999999999,0.176007983830707,0.176007983830707,0.017917484790559,1.7467229555136,0.222386650157054,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,3349.52091670677,0.394557724236778,0.226178971940171,0.859205240922891,0.830449840257623,0.226178971940171,FALSE,FALSE,FALSE,1,0.222386650157054,"intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1322.4660845046,1958.93508405424,1807.2624810737,2141.1089363225,5952.91407724275,4904.19690290385,2460.73102006192,2526.3398235915,6569.85015604712,3851.40460126548,0.264973639568197,0.0738769922014612,0.186666200705935,10,3349.52091670677,FALSE,0.362932589667734,0.645547774277311,0.0659030825558911
"RT4_ZT10_NormEVS_leading_edge_dataset","163095","Atp5me",-0.236577085305562,-0.102812245242111,-0.102812245242111,"downregulated",-0.657940559780658,0.510576326638725,0.826619567727455,0.614637172041623,0.930119358289232,0.993912376659156,0.999999999999999,0.0217325735134682,0.0217325735134682,0.017917484790559,1.7467229555136,0.0424291802143216,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,5518.52484553734,0.359572125154332,0.614637172041623,0.993912376659156,0.930119358289232,0.614637172041623,FALSE,FALSE,FALSE,1,0.0424291802143216,"weak_effect",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6663.41079219382,4861.79824924927,6841.46833196814,5373.94587346164,1594.21698107365,3245.81567172298,8176.14687221429,5742.1544703053,4406.36475722798,8279.92645595633,0.209326843107636,0.0725267857002265,0.155103798991553,10,5518.52484553734,FALSE,0.0826943183194061,0.211381178013286,0.00265190132783815
"RT4_ZT10_NormEVS_leading_edge_dataset","206283","Cpe",0.111288657566694,0.0402064269211507,0.0402064269211507,"upregulated",0.262889775775435,0.792635536972137,0.938000824911213,0.840568052592117,0.947923994988755,0.993912376659156,0.999999999999999,0.00303265499680559,0.00303265499680559,0.017917484790559,1.7467229555136,0.0441166292372952,1,FALSE,FALSE,FALSE,FALSE,"BG",FALSE,FALSE,FALSE,FALSE,4436.62983127973,0.423328207566957,0.840568052592117,0.993912376659156,0.947923994988755,0.840568052592117,FALSE,FALSE,FALSE,1,0.0441166292372952,"weak_effect",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7142.34783626317,4128.26377655552,5328.88399037875,5165.30911266225,1273.11584247817,1980.17560300664,6641.87056526115,5842.32345404194,1919.19629238932,4944.81183976034,0.318421962581614,0.0730352429858664,0.215005405709566,11,4436.62983127973,FALSE,0.0277967796867882,0.0754271202152076,0.00265190132783815
