"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","feature_id","empirical_p","empirical_q","lfdr","empirical_bh","lfc_shrunk","padj_strong_effect","padj_weak_effect","effect_class","resGA_padj","resLA_padj","gene_empirical_pvalue","HBFSS","raw_lfc_pass","shrunk_lfc_pass","standard_significant","HBFSS_significant","regulation_direction","gene_symbol","R2_1","R2_2","R2_3","R2_4","R2_5","ZT8_1","ZT8_2","ZT8_3","ZT8_4","ZT8_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","IOD","neglog10_padj","neglog10_empirical_p","neglog10_padjc","dataset_name","hc_p_threshold_dataset","hbfss_threshold_dataset","Apeglm_L2FC","pi_valueE","pval","padjc","qval"
19657.7465370111,0.105800602911946,0.340698287057265,0.310540460375614,0.756149996246603,0.99920126812015,"248551",0.652999444819398,0.974378806796854,1,0.98596318277286,2.35470514320252e-06,1,0.0132045926980935,"weak_effect",1,0.0132045926980935,0.652999444819398,4.35825753435607e-07,FALSE,FALSE,FALSE,FALSE,"upregulated","Mbp",46694.2043818961,14425.8548677567,16011.016362132,11267.3391860214,13490.6829382381,19748.0524705222,18769.3838886236,22032.1116377914,16985.955875109,17152.8637620209,0.189011276935969,0.0690033533083846,0.139370524463938,10,FALSE,2739.7104446424,0.000347023455744123,0.185087187962253,0.00613930191184906,"RT2_ZT8_leading_edge_dataset",0.0220541331368955,1.65651000799492,2.35470514320252e-06,4.35825753435607e-07,0.652999444819398,0.98596318277286,0.974378806796854
17444.399247971,0.307846598658725,0.586456142169491,0.524926889707218,0.599634015741179,0.99920126812015,"55601",0.447262333397173,0.963028985515933,1,0.983550605299205,1.48186842067862e-06,1,0.141309282523945,"intermediate",1,0.141309282523945,0.447262333397173,5.17820655267868e-07,FALSE,FALSE,FALSE,FALSE,"upregulated","Bc1",33019.7672213702,6785.97097768199,8291.95762633953,25725.9773921832,22669.4313593398,15356.4197281319,15397.5838582733,27465.3438507964,16109.4928531888,3622.0476124045,0.413048640259759,0.069076712189802,0.413048640259759,5,TRUE,7205.38538952277,0.000347023455744123,0.349437674790811,0.00720329000311108,"RT2_ZT8_leading_edge_dataset",0.0220541331368955,1.65651000799492,1.48186842067862e-06,5.17820655267868e-07,0.447262333397173,0.983550605299205,0.963028985515933
5633.52270320067,0.814103841791881,1.0291590919618,0.791037895064429,0.428921878302741,0.99920126812015,"25328",0.252100857840993,0.936233279049456,1,0.967031274677786,-9.24228032064108e-07,1,0.436476706410645,"intermediate",1,0.436476706410645,0.252100857840993,5.53081785344146e-07,FALSE,FALSE,FALSE,FALSE,"downregulated","-",18008.1551871514,654.080638203294,6252.02007882467,1667.36409479241,9328.61328113419,1060.30646172062,10815.2076445197,665.727212963975,633.001071386831,7250.75136130958,1.27201444971998,0.0704426752339254,1.27201444971998,10,TRUE,7165.9222812968,0.000347023455744123,0.598425676517224,0.0145594802082603,"RT2_ZT8_leading_edge_dataset",0.0220541331368955,1.65651000799492,-9.24228032064108e-07,5.53081785344146e-07,0.252100857840993,0.967031274677786,0.936233279049456
5360.08839960353,0.518456990194699,0.370198359407976,1.40048429988674,0.16136834163805,0.99920126812015,"8277",0.0425995027579431,0.712723131338439,1,0.697362781071592,2.76635973430398e-06,1,0.119817778200236,"intermediate",1,0.119817778200236,0.0425995027579431,3.7915601206798e-06,FALSE,FALSE,FALSE,FALSE,"upregulated","Apoe",14555.7733819766,3331.46305257435,4996.04943416373,2563.79640382059,6116.00390815996,4698.66169437741,4036.16278565647,4841.54211944083,4233.67518190707,4227.7560339582,0.234113123808069,0.0705455938370815,0.164419026526776,11,FALSE,881.300516760279,0.000347023455744123,1.37059547016352,0.156541235059506,"RT2_ZT8_leading_edge_dataset",0.0220541331368955,1.65651000799492,2.76635973430398e-06,3.7915601206798e-06,0.0425995027579431,0.697362781071592,0.712723131338439
8490.33553439115,-0.164723294685808,0.431950406239941,-0.381347701741267,0.702945262119871,0.99920126812015,"179269",0.580870478805911,0.971288667376364,1,0.983550605299205,2.43210668678902e-06,1,0.045248436893009,"weak_effect",1,0.045248436893009,0.580870478805911,5.73784299429918e-07,FALSE,FALSE,FALSE,FALSE,"upregulated","Lcp1",14877.9667875234,5964.43829490331,3465.22648776259,9026.25841345099,6697.441624615,4896.30381326789,6637.26566621239,14550.7214086028,15703.7229356331,3084.00991194012,0.323994593454562,0.0697638315656491,0.223988919090863,6,FALSE,1901.74107906702,0.000347023455744123,0.235920694822584,0.00720329000311108,"RT2_ZT8_leading_edge_dataset",0.0220541331368955,1.65651000799492,2.43210668678902e-06,5.73784299429918e-07,0.580870478805911,0.983550605299205,0.971288667376364
10083.6273829621,-0.0549145821430718,0.410509290895486,-0.133771837473595,0.893582997442629,0.99920126812015,"415923",0.846430894801368,0.980117500904456,1,0.987928343224304,-2.1590595373212e-06,1,0.0241679519996439,"weak_effect",1,0.0241679519996439,0.846430894801368,1.56334247898151e-07,FALSE,FALSE,FALSE,FALSE,"downregulated","-",12889.9034420869,5228.94450795618,4909.07085766367,12061.0892487428,14370.9018629857,8544.60330347892,6545.47272738075,22089.7634930617,10115.2033553191,4081.32103094522,0.301034695854492,0.0695523139325834,0.202311994000098,8,FALSE,2040.03876260105,0.000347023455744123,0.0724084932331783,0.00527455467437286,"RT2_ZT8_leading_edge_dataset",0.0220541331368955,1.65651000799492,-2.1590595373212e-06,1.56334247898151e-07,0.846430894801368,0.987928343224304,0.980117500904456
1604.8043400559,0.30940461332923,0.982082528512581,0.315049503831252,0.752724067610449,0.99920126812015,"565080",0.648298365790362,0.974197810734836,1,0.98596318277286,3.48933034666559e-07,1,0.257329068500622,"intermediate",1,0.257329068500622,0.648298365790362,6.56779459750032e-08,FALSE,FALSE,FALSE,FALSE,"upregulated","-",6270.49049360054,460.724409936691,165.839152526791,1189.81015561922,793.904353463072,1990.09454304186,2891.02315270733,1153.03710540707,1008.87215291208,124.24788134435,1.15784581035049,0.0755074210624831,1.15784581035049,12,TRUE,1858.115981566,0.000347023455744123,0.188225073151257,0.00613930191184906,"RT2_ZT8_leading_edge_dataset",0.0220541331368955,1.65651000799492,3.48933034666559e-07,6.56779459750032e-08,0.648298365790362,0.98596318277286,0.974197810734836
1144.07193677043,-0.132069035309207,0.999350081574737,-0.132154925230103,0.894861752787316,0.99920126812015,"470412",0.848264419632008,0.980159624295413,1,0.987928343224304,6.62159050788058e-07,1,0.21137923728952,"intermediate",1,0.21137923728952,0.848264419632008,4.73236790358027e-08,FALSE,FALSE,FALSE,FALSE,"upregulated","-",3991.29723238974,255.341239242022,288.768873980216,505.261846906791,417.345179837218,2892.53591608895,2095.78729649264,511.584357820083,296.425602930136,186.371822016525,1.19868682351608,0.0783595307293446,1.19868682351608,12,TRUE,1371.38395576124,0.000347023455744123,0.0714687490558065,0.00527455467437286,"RT2_ZT8_leading_edge_dataset",0.0220541331368955,1.65651000799492,6.62159050788058e-07,4.73236790358027e-08,0.848264419632008,0.987928343224304,0.980159624295413
8784.37429272431,0.0571042739587555,0.223735703321683,0.255230940395115,0.798544735242816,0.99920126812015,"335788",0.711738433836012,0.976443485665009,1,0.987895031073349,1.20192037885824e-06,1,0.000368155985783891,"weak_effect",1,0.000368155985783891,0.711738433836012,1.77499098740673e-07,FALSE,FALSE,FALSE,FALSE,"upregulated","Cst3",5415.88332148885,8608.51533024279,8089.00761450605,12589.1693726066,10092.1652578818,7785.110632774,7884.19548875701,10785.1449669971,8117.96110848726,8476.58983350161,0.0494160852680594,0.0697190229238145,0.0600109440160728,12,FALSE,527.158593896908,0.000347023455744123,0.14767958166188,0.00528919898269482,"RT2_ZT8_leading_edge_dataset",0.0220541331368955,1.65651000799492,1.20192037885824e-06,1.77499098740673e-07,0.711738433836012,0.987895031073349,0.976443485665009
2583.17416294741,-0.0111512029034759,0.33633397724703,-0.0331551483283105,0.973550864889528,0.99920126812015,"56995",0.961714736151465,0.982459073397154,1,0.994823059458841,-9.165649979758e-08,1,0.00684199374485826,"weak_effect",1,0.00684199374485826,0.961714736151465,1.5539194861937e-09,FALSE,FALSE,FALSE,FALSE,"downregulated","Fth1",5137.75672701463,2202.78076317121,1333.67150633433,2052.01504921177,2138.89404666574,2314.52594574887,3071.88250743501,3646.02469962403,2413.26319388367,1520.92719038486,0.18792343761934,0.0728250419615512,0.13548155492687,10,FALSE,349.972452243031,0.000347023455744123,0.0169537293004367,0.0022541565749375,"RT2_ZT8_leading_edge_dataset",0.0220541331368955,1.65651000799492,-9.165649979758e-08,1.5539194861937e-09,0.961714736151465,0.994823059458841,0.982459073397154
