Supplementary Data 1. 3'aTWAS genes of 11 brain disorders.,,,,,,,,,,
Disease,PANEL,Transcript ID,Gene symbol,3'aTWAS.Z,3'aTWAS.P,COLOC.PP0,COLOC.PP1,COLOC.PP2,COLOC.PP3,COLOC.PP4
PD,Brain_Amygdala,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,8.33164,7.97E-17,0,0,0.003,0.126,0.872
PD,Brain_Amygdala,ALL.NM_001042698@ZSWIM7@chr17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.113,0.885
PD,Brain_Amygdala,ALL.NM_001042697@ZSWIM7@chr17@-,ZSWIM7,5.15777,2.50E-07,0,0.002,0,0.095,0.904
PD,Brain_Amygdala,ALL.NM_001085425@ARSA@chr22@-,ARSA,3.9341,8.35E-05,0,0.312,0,0.001,0.687
PD,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_021923@FGFRL1@chr4@+,FGFRL1,4.2028,2.64E-05,0,0,0.832,0.06,0.108
PD,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,8.256,1.51E-16,0,0,0,0.055,0.945
PD,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001042698@ZSWIM7@chr17@-,ZSWIM7,5.2194,1.79E-07,0,0.001,0,0.067,0.932
PD,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001042697@ZSWIM7@chr17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.113,0.885
PD,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001085425@ARSA@chr22@-,ARSA,3.937,8.25E-05,0,0.31,0,0.001,0.689
PD,Brain_Caudate_basal_ganglia,ALL.NM_001908@CTSB_1@chr8@-,CTSB,-4.381,1.18E-05,0,0.417,0,0.007,0.576
PD,Brain_Caudate_basal_ganglia,ALL.NM_001042698@ZSWIM7@chr17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.113,0.885
PD,Brain_Caudate_basal_ganglia,ALL.NM_001042697@ZSWIM7@chr17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.113,0.885
PD,Brain_Caudate_basal_ganglia,ALL.NR_026680@LINC02210_2@chr17@+,LINC02210,-9.281,1.68E-20,0,0,0.108,0.012,0.881
PD,Brain_Cerebellar_Hemisphere,ALL.NM_001308101@DCUN1D1@chr3@-,DCUN1D1,4.356,1.32E-05,0,0,0.825,0.055,0.12
PD,Brain_Cerebellar_Hemisphere,ALL.NM_007308@SNCA@chr4@-,SNCA,6.3445,2.23E-10,0,0,0.462,0.134,0.403
PD,Brain_Cerebellar_Hemisphere,ALL.NM_001908@CTSB_1@chr8@-,CTSB,-3.9829,6.81E-05,0,0.451,0,0.008,0.541
PD,Brain_Cerebellar_Hemisphere,ALL.NM_014712@SETD1A@chr16@+,SETD1A,-4.4554,8.37E-06,0,0,0.568,0.032,0.4
PD,Brain_Cerebellar_Hemisphere,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,8.922,4.58E-19,0,0,0,0.338,0.662
PD,Brain_Cerebellar_Hemisphere,ALL.NR_027782@PLEKHM1_2@chr17@-,PLEKHM1,-8.11,5.06E-16,0,0,0.464,0.514,0.022
PD,Brain_Cerebellar_Hemisphere,ALL.NM_001042698@ZSWIM7@chr17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.113,0.885
PD,Brain_Cerebellar_Hemisphere,ALL.NM_001042697@ZSWIM7@chr17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.113,0.885
PD,Brain_Cerebellar_Hemisphere,ALL.NM_001330244@ARL17A_1@chr17@+,ARL17A,9.297,1.44E-20,0,0,0,0.011,0.989
PD,Brain_Cerebellum,ALL.NM_007308@SNCA@chr4@-,SNCA,9.191,3.87E-20,0,0,0.126,0.659,0.216
PD,Brain_Cerebellum,ALL.NM_001908@CTSB_1@chr8@-,CTSB,-4.4278,9.52E-06,0,0.437,0,0.007,0.555
PD,Brain_Cerebellum,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,8.35489,6.55E-17,0,0,0,0.28,0.72
PD,Brain_Cerebellum,ALL.NM_001042698@ZSWIM7@chr17@-,ZSWIM7,5.14482,2.68E-07,0,0.002,0,0.113,0.885
PD,Brain_Cerebellum,ALL.NM_001042697@ZSWIM7@chr17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.113,0.885
PD,Brain_Cerebellum,ALL.NM_001330244@ARL17A_1@chr17@+,ARL17A,9.282,1.66E-20,0,0,0,0.013,0.987
PD,Brain_Cortex,ALL.NM_007308@SNCA@chr4@-,SNCA,8.884,6.47E-19,0,0,0.119,0.137,0.744
PD,Brain_Cortex,ALL.NM_001908@CTSB_1@chr8@-,CTSB,-4.4188,9.93E-06,0,0.442,0,0.007,0.551
PD,Brain_Cortex,ALL.NM_001172432@PHKG2@chr16@+,PHKG2,4.5514,5.33E-06,0,0,0.729,0.192,0.079
PD,Brain_Cortex,ALL.NR_034172@KANSL1-AS1_2@chr17@+,KANSL1-AS1,8.6776,4.04E-18,0,0,0.09,0.011,0.899
PD,Brain_Cortex,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,8.966,3.07E-19,0,0,0,0.256,0.744
PD,Brain_Cortex,ALL.NM_001042698@ZSWIM7@chr17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.113,0.885
PD,Brain_Cortex,ALL.NM_001042697@ZSWIM7@chr17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.113,0.885
PD,Brain_Cortex,ALL.NM_001330244@ARL17A_1@chr17@+,ARL17A,5.9062,3.50E-09,0,0,0.747,0.02,0.233
PD,Brain_Frontal_Cortex_BA9,ALL.NM_007308@SNCA@chr4@-,SNCA,5.0643,4.10E-07,0,0,0.021,0.974,0.005
PD,Brain_Frontal_Cortex_BA9,ALL.NM_001243965@HLA-DRB1_1@chr6@-,HLA-DRB1,-4.1536,3.27E-05,0,0.713,0,0.183,0.104
PD,Brain_Frontal_Cortex_BA9,ALL.NR_034172@KANSL1-AS1_2@chr17@+,KANSL1-AS1,7.85352,4.05E-15,0,0,0.488,0.008,0.504
PD,Brain_Frontal_Cortex_BA9,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,7.66685,1.76E-14,0,0,0,0.254,0.746
PD,Brain_Frontal_Cortex_BA9,ALL.NM_001085425@ARSA@chr22@-,ARSA,3.937,8.25E-05,0,0.31,0,0.001,0.689
PD,Brain_Hippocampus,ALL.NM_014924@ATG14@chr14@-,ATG14,-4.072,4.66E-05,0.887,0.092,0.014,0.001,0.005
PD,Brain_Hippocampus,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,6.8187,9.19E-12,0,0,0.002,0.266,0.732
PD,Brain_Hippocampus,ALL.NM_001042697@ZSWIM7@chr17@-,ZSWIM7,5.2239,1.75E-07,0,0.002,0,0.112,0.886
PD,Brain_Hypothalamus,ALL.NM_022731@NUCKS1@chr1@-,NUCKS1,-3.986,6.72E-05,0,0.001,0.003,0.435,0.56
PD,Brain_Hypothalamus,ALL.NM_004891@MRPL33@chr2@+,MRPL33,4.1415,3.45E-05,0.694,0.106,0.058,0.009,0.133
PD,Brain_Hypothalamus,ALL.NM_145330@MRPL33@chr2@+,MRPL33,4.0773,4.56E-05,0.716,0.099,0.059,0.008,0.118
PD,Brain_Hypothalamus,ALL.NM_001908@CTSB_1@chr8@-,CTSB,-4.006,6.17E-05,0,0.475,0,0.008,0.517
PD,Brain_Hypothalamus,ALL.NM_001085425@ARSA@chr22@-,ARSA,3.937,8.25E-05,0,0.31,0,0.001,0.689
PD,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,8.20672,2.27E-16,0,0,0,0.217,0.783
PD,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001042698@ZSWIM7@chr17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.113,0.885
PD,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001042697@ZSWIM7@chr17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.113,0.885
PD,Brain_Nucleus_accumbens_basal_ganglia,ALL.NM_001085425@ARSA@chr22@-,ARSA,4.017,5.91E-05,0,0.31,0,0.001,0.689
PD,Brain_Putamen_basal_ganglia,ALL.NM_001908@CTSB_1@chr8@-,CTSB,-4.205,2.62E-05,0,0.433,0,0.007,0.56
PD,Brain_Putamen_basal_ganglia,ALL.NR_034172@KANSL1-AS1_2@chr17@+,KANSL1-AS1,9.297,1.44E-20,0,0,0.138,0.01,0.852
PD,Brain_Putamen_basal_ganglia,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,7.0775,1.47E-12,0,0,0,0.296,0.704
