"Comparison","Analysis","Human_TWAS","Rat_Ortholog","Ortholog_mapping_source","TWAS_Disorders","TWAS_n","TWAS_PAS_n","TWAS_APA","WTTS_PAS_n","WTTS_APA","Std","Strong","Weak","HBFSS","Ovlp","Std_PAS_n","Strong_PAS_n","Weak_PAS_n","HBFSS_PAS_n","Std_PAS_IDs","Strong_PAS_IDs","Weak_PAS_IDs","HBFSS_PAS_IDs","WTTS_DE_PAS_n","WTTS_DE_APA","WTTS_DE_PAS_IDs","Methods"
"RT0_ZT6","Original (No EVS)","CISD2","Cisd2","babelgene","ADHD(2), ANX(1), ASD(1), DEP(1), SCZ(6)",11,2,TRUE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"282293",1,FALSE,"282293","HBFSS"
"RT0_ZT6","NormEVS Lead","CISD2","Cisd2","babelgene","ADHD(2), ANX(1), ASD(1), DEP(1), SCZ(6)",11,2,TRUE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"282293",1,FALSE,"282293","HBFSS"
"RT0_ZT6","NormEVS Rem","ARL17B","Arf2","babelgene","ANX(1), DEP(1), MDD(1), PD(1), PTSD(1), SCZ(1)",6,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"95337",NA,NA,"95337",1,FALSE,"95337","Std+HBFSS"
"RT0_ZT6","NormEVS Rem","BORCS7","Borcs7","babelgene","ANX(3), BIP(2), SCZ(3)",8,2,TRUE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"61237",1,FALSE,"61237","HBFSS"
"RT0_ZT6","NormEVS Rem","CGREF1","Cgref1","babelgene","MDD(1), PTSD(3), SCZ(3)",7,2,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"454366",1,FALSE,"454366","HBFSS"
"RT0_ZT6","NormEVS Rem","CPEB1","Cpeb1","babelgene","SCZ(1)",1,1,FALSE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"17141",1,FALSE,"17141","HBFSS"
"RT0_ZT6","NormEVS Rem","NECTIN2","Nectin2","babelgene","AD(4)",4,1,FALSE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"8292",1,FALSE,"8292","HBFSS"
"RT0_ZT6","RawEVS Lead","CISD2","Cisd2","babelgene","ADHD(2), ANX(1), ASD(1), DEP(1), SCZ(6)",11,2,TRUE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"282293",1,FALSE,"282293","HBFSS"
"RT0_ZT6","RawEVS Rem","ARL17B","Arf2","babelgene","ANX(1), DEP(1), MDD(1), PD(1), PTSD(1), SCZ(1)",6,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"95337",NA,NA,"95337",1,FALSE,"95337","Std+HBFSS"
"RT0_ZT6","RawEVS Rem","BORCS7","Borcs7","babelgene","ANX(3), BIP(2), SCZ(3)",8,2,TRUE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"61237",1,FALSE,"61237","HBFSS"
"RT2_ZT8","Original (No EVS)","KHK","Khk","babelgene","PTSD(1), SCZ(1)",2,1,FALSE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"440688",1,FALSE,"440688","HBFSS"
"RT2_ZT8","NormEVS Rem","TUBB","Tubb5","babelgene","ANX(4), BIP(4), SCZ(6)",14,5,TRUE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"315274",1,FALSE,"315274","HBFSS"
"RT4_ZT10","Original (No EVS)","ATG14","Atg14","babelgene","PD(1)",1,1,FALSE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"175612",1,FALSE,"175612","HBFSS"
"RT4_ZT10","Original (No EVS)","BAIAP2","Baiap2","babelgene","ANX(4)",4,2,TRUE,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"81216",NA,NA,"81216",1,FALSE,"81216","Std+HBFSS"
"RT4_ZT10","Original (No EVS)","CYP2D7","Cyp2d4","babelgene","SCZ(6)",6,3,TRUE,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"482314",NA,NA,"482314",1,FALSE,"482314","Std+HBFSS"
"RT4_ZT10","Original (No EVS)","DDHD2","Ddhd2","babelgene","SCZ(18)",18,5,TRUE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"210841",1,FALSE,"210841","HBFSS"
"RT4_ZT10","Original (No EVS)","F11R","F11r","babelgene","AD(1)",1,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"149735",1,FALSE,"149735","HBFSS"
"RT4_ZT10","Original (No EVS)","GATAD2A","Gatad2a","babelgene","SCZ(1)",1,1,FALSE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"205547",1,FALSE,"205547","HBFSS"
