"dataset_name","feature_id","gene_symbol","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","hc_empirical_pass","deseq2_standard_call","deseq2_strong_call","deseq2_weak_call_raw","deseq2_weak_call","standard_significant","HBFSS_significant","effect_class","log2FoldChange","lfcSE","stat","raw_lfc_pass","shrunk_lfc_pass","neglog10_wald_pvalue","padj_strong_effect","padj_weak_effect","HBFSS_only_call","overlap_call","R0_1","R0_2","R0_3","R0_4","R0_5","ZT6_1","ZT6_2","ZT6_3","ZT6_4","ZT6_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p"
"RT0_ZT6_remainder_dataset","268475","-",31.2850771085937,2.46704394013943,"upregulated",0.000578794396022345,6.06264400270336e-12,5.09949195880722e-08,3.15636405900932e-12,2.61284963784412e-08,28.3730107975277,0.038071320038819,1.41940206472395,0.999999999899747,0.0182820003028216,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"strong_effect",3.21171969260479,0.466943947127968,6.87816966545795,TRUE,TRUE,11.2173379327053,0.0182820003028216,0.999999999899747,FALSE,TRUE,48.1201936761532,29.8528358436661,91.3860404960714,67.124070783238,44.1164535216916,5.15960376052604,9.82597847284763,8.36930177620759,8.89629275553498,0,0.347420985924984,0.133062421992162,0.181582911312222,12,FALSE,7.29247308870146,11.5008129105006
"RT0_ZT6_remainder_dataset","282293","Cisd2",26.3413495866555,1.36227955693989,"upregulated",0.147104262077036,0.00013180353221728,0.0692902152493924,0.000106875334846768,0.0552948690978342,5.40977901564456,0.038071320038819,1.41940206472395,0.969073664249338,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",1.75957097016442,0.460251503500366,3.82306403516838,TRUE,TRUE,3.88007295088072,1,0.969073664249338,FALSE,TRUE,46.8863425562518,32.064157017271,75.0671046932015,21.8153230045523,27.2483977633978,4.69054887320549,19.6519569456953,4.18465088810379,17.79258551107,14.0124286138061,0.275387808634001,0.160651356496647,0.204082576798509,10,FALSE,1.15932808953283,3.97112251159125
"RT0_ZT6_remainder_dataset","59411","Cstf2t",28.8909919959973,1.19230935100576,"upregulated",0.325852564304626,0.000631075345746796,0.186504900871454,0.000532572192338376,0.147061714868776,3.90316954220677,0.038071320038819,1.41940206472395,0.929357721287061,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",1.51770571372967,0.444046958707599,3.41789462571022,TRUE,TRUE,3.19991878609882,1,0.929357721287061,FALSE,TRUE,50.5878959159559,69.6566169685542,14.1430776958206,36.9182389307809,41.5213680204156,9.85015263373153,4.91298923642382,32.0823234754624,14.5575699636027,14.6796871192255,0.279019574274874,0.144929080216827,0.194054562920389,10,FALSE,0.7293097515579,3.27362151350594
"RT0_ZT6_remainder_dataset","206366","-",11.523794280504,1.7400597611526,"upregulated",0.0746877358922499,2.55379726617461e-05,0.0292920546430228,1.98514830618279e-05,0.0221992968860337,8.18212126322305,0.038071320038819,1.41940206472395,0.999998563689883,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",3.79594232577625,0.901650721023582,4.20999200385154,TRUE,TRUE,4.59281358227869,1,0.999998563689883,FALSE,TRUE,51.8217470358573,6.63396352081469,6.52757432114796,21.8153230045523,19.4631412595698,0,0,6.97441814683966,0,2.00177551625802,1.41821808100012,0.442717145749234,0.670976357233882,10,FALSE,1.53325016437743,4.70220704247727
"RT0_ZT6_remainder_dataset","287258","LOC120100676",17.5718507264154,1.39729215835487,"upregulated",0.325852564304626,0.000643018402782614,0.186504900871454,0.000542909159407134,0.148614282970631,4.56254012208,0.038071320038819,1.41940206472395,0.980380719754006,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",2.20991808673589,0.647540311452379,3.41278843594961,TRUE,TRUE,3.19177659766276,1,0.980380719754006,FALSE,TRUE,67.861811594575,18.7962299756416,16.3189358028699,33.562035391619,7.78525650382793,6.56676842248769,4.91298923642382,6.97441814683966,12.9400621898691,0,0.722202883505218,0.26119045942918,0.413900096676304,8,FALSE,0.7293097515579,3.26527283131094
"RT0_ZT6_remainder_dataset","500532","Nr4a1",35.5533901687514,1.47031049657567,"upregulated",0.0292632248979701,1.18680750224643e-06,0.00299479005116864,8.51864763617982e-07,0.00211553024064976,8.92423973695883,0.038071320038819,1.41940206472395,0.986725513920967,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",1.72531905777331,0.355162686959195,4.85782747209459,TRUE,TRUE,5.92561971701148,1,0.986725513920967,FALSE,TRUE,44.4186403164491,66.3396352081469,26.1102972845918,78.8707831703046,55.7943382774335,11.7263721830137,11.0542257819536,26.5027889579907,15.3663238504695,19.3504966571608,0.112282302596508,0.116597198312905,0.114897077803647,9,FALSE,2.523633618288,6.06962934546358
"RT0_ZT6_remainder_dataset","382119","Magi2",54.377833532384,1.32667793496098,"upregulated",0.0292632248979701,7.91583983725011e-06,0.017838108931063,5.96942718589233e-06,0.0103357341341286,6.9306548719059,0.038071320038819,1.41940206472395,0.965247536876345,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",1.54406620653301,0.345626037587481,4.46744758384182,TRUE,TRUE,5.10150300154272,1,0.965247536876345,FALSE,TRUE,49.3540447960545,42.015102298493,57.660239836807,131.730988912105,123.266561310609,17.3550308308603,30.7061827276489,29.2925562167266,21.0276010585372,41.3700273359991,0.183866406548974,0.0778990029268164,0.120677572512118,6,FALSE,1.74865118831953,5.22406734088763
"RT0_ZT6_remainder_dataset","351649","Pdia3",7.86104425836041,1.412379790692,"upregulated",0.325852564304626,0.000432991347115609,0.147650049366423,0.000361927022765718,0.116836153020225,4.86053413716747,0.038071320038819,1.41940206472395,0.998023363997962,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",3.97165044046648,1.12859400160614,3.51911354731133,TRUE,TRUE,3.36352078248611,1,0.998023363997962,FALSE,TRUE,45.6524914363504,11.0566058680245,0,8.39050884790475,9.08279925446592,0,0,0,2.42626166060045,2.00177551625802,2.01919587597557,0.709139344146349,1.04037351317129,11,FALSE,0.830766403493611,3.44137898970223
"RT0_ZT6_remainder_dataset","116400","-",64.4215319219151,1.51590171634965,"upregulated",0.00344630618111339,6.99407350473836e-08,0.000352976901637136,4.66160141598948e-08,0.000231533435506765,11.1137801691763,0.038071320038819,1.41940206472395,0.992843851398027,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",1.73017803653876,0.320918995107682,5.39132324017845,TRUE,TRUE,7.15526980775247,1,0.992843851398027,FALSE,TRUE,76.4987694338845,58.6000111005297,129.463557369435,145.994853953543,83.0427360408312,12.1954270703343,33.1626773458608,29.2925562167266,29.9238938140722,46.0408368739344,0.158495709421204,0.0675289533231664,0.103294298474448,11,FALSE,3.45225371336501,7.33146486299832
"RT0_ZT6_remainder_dataset","399295","Klra2",7.10140997049161,1.32083928649107,"upregulated",0.325852564304626,0.00050836335853944,0.164709563076918,0.000426665708833429,0.129433596014831,4.45111250507548,0.038071320038819,1.41940206472395,0.998458060118502,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",4.49234888888807,1.29227492646612,3.47631049468161,TRUE,TRUE,3.29382575976556,1,0.998458060118502,FALSE,TRUE,45.6524914363504,9.95094528122203,0,7.55145796311427,5.19017100255195,0,0,0,0,2.66903402167736,3.1004678566457,0.803684854420851,1.28798675351906,11,FALSE,0.783281184855956,3.36991226002997
"RT0_ZT6_remainder_dataset","542173","Ndufa10",5.70089477637317,-1.28842572810104,"downregulated",0.0755731114222166,6.86153249374795e-05,0.0530265435783952,5.47132353918567e-05,0.0403516293569783,5.49115140656788,0.038071320038819,1.41940206472395,0.999999999899747,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",-5.8230612694523,1.46269968483369,-3.98103679779928,TRUE,TRUE,4.16357887565644,1,0.999999999899747,FALSE,TRUE,0,0,0,0,0,3.75243909856439,4.91298923642382,0,43.6727098908081,4.67080953793538,3.54537742193245,1.05866622794733,1.53025226450453,9,FALSE,1.27550668051395,4.26190760305685
"RT0_ZT6_remainder_dataset","117671","Xab2",154.4970376678,-0.354256585018225,"downregulated",0.80295287376179,0.0400990937520196,0.737246101456633,0.0374974961121446,0.676141017078705,0.505169086509937,0.038071320038819,1.41940206472395,0.0221322144143589,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.369995729373595,0.180245979377203,-2.05272667191816,FALSE,FALSE,1.39686544241584,1,0.0221322144143589,FALSE,FALSE,109.812749671221,145.947197457923,156.661783707551,111.593767677133,151.812501824645,178.240857181809,206.3455479298,122.749759384378,176.308347336966,185.497864506576,0.0228682152197678,0.0391683996926881,0.0323495076554031,8,FALSE,0.132387515311055,1.42599773123186
